"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Mar-2021","EQ","215.70","220.90","215.40","215.15","220.00","220.05","219.33","238.30","122.15",10222359,"2,242,087,475.35",71671
"10-Mar-2021","EQ","218.00","218.95","214.00","216.00","215.35","215.15","216.01","238.30","122.15",5996907,"1,295,404,883.40",44641
"09-Mar-2021","EQ","220.50","222.10","213.25","220.15","215.50","216.00","216.60","238.30","122.15",7079067,"1,533,320,914.95",52655
"08-Mar-2021","EQ","217.85","223.90","217.00","220.25","219.30","220.15","221.19","238.30","122.15",8859067,"1,959,553,609.70",87164
"05-Mar-2021","EQ","226.00","226.00","219.35","225.15","221.40","220.25","222.48","238.30","122.15",9755263,"2,170,322,245.60",68550
"04-Mar-2021","EQ","223.05","229.95","223.05","227.50","225.85","225.15","226.87","238.30","122.15",12861986,"2,917,987,809.70",74566
"03-Mar-2021","EQ","230.00","230.15","223.70","225.05","227.50","227.50","226.59","238.30","122.15",10884683,"2,466,411,691.65",61741
"02-Mar-2021","EQ","229.00","229.35","223.35","227.25","225.80","225.05","225.68","238.30","122.15",10250883,"2,313,405,906.20",97162
"01-Mar-2021","EQ","217.50","228.80","217.40","214.30","228.80","227.25","224.26","238.30","122.15",17686096,"3,966,214,228.50",136026
"26-Feb-2021","EQ","221.50","227.25","211.20","227.55","213.85","214.30","217.87","238.30","122.15",21414774,"4,665,709,911.90",128178
"25-Feb-2021","EQ","223.70","232.80","220.80","222.75","227.80","227.55","226.96","238.30","122.15",17266549,"3,918,877,408.80",142971
"24-Feb-2021","EQ","226.15","228.20","221.60","226.10","222.60","222.75","224.63","238.30","122.15",6424498,"1,443,111,312.60",55805
"23-Feb-2021","EQ","225.75","229.10","224.65","224.95","226.00","226.10","226.66","238.30","122.15",10290130,"2,332,325,567.80",58878
"22-Feb-2021","EQ","232.45","233.90","223.60","232.20","224.50","224.95","227.69","238.30","122.15",14512980,"3,304,444,032.85",62460
"19-Feb-2021","EQ","233.50","236.10","228.75","236.50","232.50","232.20","232.30","238.30","122.15",20438826,"4,748,013,946.10",103469
"18-Feb-2021","EQ","231.00","238.30","228.50","230.05","235.25","236.50","234.93","238.30","122.15",24914207,"5,853,191,421.15",138694
"17-Feb-2021","EQ","225.50","231.20","222.20","225.55","230.35","230.05","227.98","231.20","122.15",21957171,"5,005,896,950.90",122400
"16-Feb-2021","EQ","213.40","229.90","213.30","212.45","225.75","225.55","224.89","229.90","122.15",45113050,"10,145,290,557.95",227360
"15-Feb-2021","EQ","214.00","215.45","211.55","212.65","212.80","212.45","213.04","219.00","122.15",4837278,"1,030,511,290.95",39897
"12-Feb-2021","EQ","219.00","219.00","210.55","213.75","212.05","212.65","213.54","219.00","122.15",14099935,"3,010,918,398.70",77225
"11-Feb-2021","EQ","208.85","214.80","208.35","210.45","214.30","213.75","212.82","217.45","122.15",11533755,"2,454,638,318.55",45186
"10-Feb-2021","EQ","210.55","214.00","207.00","210.75","209.75","210.45","210.72","217.45","122.15",19231530,"4,052,394,369.45",81514
"09-Feb-2021","EQ","210.00","217.45","210.00","212.55","210.50","210.75","214.46","217.45","122.15",15602724,"3,346,093,299.20",90042
"08-Feb-2021","EQ","206.50","213.40","205.70","207.10","211.50","212.55","209.89","213.40","122.15",15995755,"3,357,296,053.45",83512
"05-Feb-2021","EQ","205.65","208.30","201.25","205.35","206.25","207.10","204.84","210.00","122.15",16174758,"3,313,300,004.60",70549
"04-Feb-2021","EQ","206.50","207.65","204.20","206.50","206.00","205.35","205.95","210.00","122.15",13231702,"2,725,071,601.40",57547
"03-Feb-2021","EQ","194.50","210.00","194.50","194.20","205.80","206.50","205.41","210.00","122.15",41294096,"8,482,023,581.80",173953
"02-Feb-2021","EQ","191.00","195.65","189.20","188.90","194.60","194.20","193.68","207.50","122.15",6077028,"1,177,015,513.95",48541
"01-Feb-2021","EQ","184.45","189.45","182.50","184.45","189.20","188.90","186.73","207.50","122.15",5335449,"996,267,958.20",54777
"29-Jan-2021","EQ","188.70","189.00","183.00","187.30","183.90","184.45","185.44","207.50","122.15",7545948,"1,399,308,684.65",42142
